원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W1x-S57,part-05.html,72,문제를 정확하게 말하기 — 세 줄로 상황을 알려 줍니다,어디에서 / 무엇이 보이고 / 무엇을 기대했는지,복구 단계(4/4)·재요청,3단+터미널,실습안내,1차시,part-05,14,M1+M2,"터미널 예시 교체: «브라우저에서 index.html을 열었더니 빈 화면입니다. / 파일은 열리지만 한 줄 소개가 보이지 않습니다. / 이 문제만 먼저 고쳐 주세요.»→«브라우저에서 index.html을 열었더니 단어는 보이는데 입력칸이 없습니다. / 글자를 쳐도 점수가 오르지 않습니다. / 이 문제만 먼저 고쳐 주세요.» / 킥커(s-team) «PART 6<br>문제 전달»→«PART 5<br>문제 전달» / aria/alt: aria-label «브라우저에서 index.html을 열었더니 빈 화면입니다, 파일은 열리지만 한 줄 소개가 보이지 않습니다, 이 문제만 먼저 고쳐 주세요»→터미널 새 문안과 같게 «브라우저에서 index.html을 열었더니 단어는 보이는데 입력칸이 없습니다, 글자를 쳐도 점수가 오르지 않습니다, 이 문제만 먼저 고쳐 주세요»",«어디에서 → 무엇이 보이고 → 무엇을 기대했는지» 3단 라벨 구조와 «이 문제만 먼저» 범위 제한 문장 유지,1.0,커리큘럼 1차시 실습 복구 · 브리프 §4 M2
VC-W1x-S58,part-05.html,73,마무리 전에 실제 위치 확인 — index.html을 다시 찾습니다,이름·위치·종류를 같은 화면에서 함께 확인한다,마무리 검증,실제 캡처+3필드,실습안내,1차시,shell,9,M1+M2,"파일 위치 «C:\VibeCoding\about-me\»→«C:\VibeCoding\typing-game\» / 캡처 screenshot/win05_vibecoding-index-root.png는 폴더명 VibeCoding만 보이면 재사용, about-me가 보이면 제거 후 «강사 시연 화면» 자리표시로 교체 / 킥커(s-team) «PART 6<br>실제 위치 확인»→«1차시<br>실제 위치 확인»(마무리 4장은 shell 배치 — PART 배지 대신 회차 표기)",«이름·위치·종류를 같은 화면에서 함께 확인합니다» 3필드 동시 확인 원칙 유지 · 캡처 실물 판정 필요 — 결정요청 D-05,0.8,브리프 §4 M2
VC-W1x-S59,part-05.html,74,오늘의 경험을 다음 작업에도 연결하기,세 번의 행동을 다섯 가지 확인으로 닫는다,차시 요약·체크리스트,2열 체크 격자,실습안내,1차시,shell,10,M1+M2,«오늘 해 본 행동» 3항 «브라우저에서 페이지 열기 / 자기소개 내용 보기 / 한 가지를 바꾸고 다시 보기»→«브라우저에서 게임 열기 / 단어를 입력해 보기 / 한 가지를 바꾸고 다시 보기» / «마지막 다섯 가지 확인» 중 «페이지가 열리는가»→«게임이 열리는가» · «이름·소개·관심사가 보이는가»→«단어와 입력칸이 보이는가» / 킥커(s-team) «PART 6<br>완료 체크»→«1차시<br>완료 체크»(마무리 4장은 shell 배치 — PART 배지 대신 회차 표기),«체크리스트는 AI의 자가평가가 아니라 사람이 실제 화면과 파일을 확인하는 순서입니다» 마지막 문장 반드시 유지 — 강제 메시지 2의 재확인,1.2,커리큘럼 1차시 실습7 · 슬라이드지침 강제 메시지 2
VC-W1x-S60,part-05.html,75,공유하기 전 사람이 직접 볼 세 가지,개인정보·권리·사실을 다시 확인한다,최종 안전 점검,이미지+3필드,본편,1차시,shell,12,M1+M2,«개인정보 / 연락처·환경변수·계정 정보가 들어가 있지 않은지 봅니다. 공개해도 되는 활동명과 일반적인 관심사만 남깁니다»→«… 공개해도 되는 단어만 남깁니다» / «사실 / 소개에 적힌 이름·소속·링크가 실제와 맞는지 직접 읽습니다»→«사실 / 화면에 적힌 안내 문구와 점수 규칙이 실제 동작과 맞는지 직접 확인합니다» / 킥커(s-team) «PART 6<br>최종 안전 점검»→«1차시<br>최종 안전 점검»(마무리 4장은 shell 배치 — PART 배지 대신 회차 표기),«권리 / 다른 사이트의 로고나 이미지를 그대로 복사하지 않았는지» 항목 그대로 유지 · «확인하지 못한 내용은 넣지 않고 사람이 최종 결정합니다» 결론 유지,1.3,커리큘럼 1차시 개념 «개인정보·민감정보» 마무리 · 브리프 §4 M2
VC-W1x-P7,shell.html,76,PART · 직접 만들어 보기,여섯 주제 중 하나를 골라 처음부터 만들어 본다,실습 과제 구분자,파트 디바이더,수강생참고,1차시,수강생참고,R1,없음,수강생참고 이동 — 6개 자율 실습 주제는 100분 시간표에 들어가지 않는다. 덱 본편에서 빼고 «수강생 참고 자료»로 분리 배포한다,"«여섯 가지 주제 가운데 하나를 골라, 배운 요청 방법으로 처음부터 만들어 봅니다» 안내문 유지",0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X00,shell.html,77,시작하기 전에 — 주제 하나를 골라 끝까지 완성합니다,한 번에 다 요청하지 않고 한 단계씩 확인한다,자율 실습 안내,4단 번호+조건 밴드,수강생참고,1차시,수강생참고,R2,M4,수강생참고 이동 + M4 — «C:\VibeCoding 안에 새 폴더를 만들고 Codex 작업공간을 그 폴더로 엽니다»→«C:\VibeCoding 안에 새 폴더를 만들고 Antigravity 프로젝트 폴더를 그 폴더로 엽니다» / «저장하는 방법은 2주차에 배웁니다»→«저장하는 방법은 2차시에 배웁니다»,«한 번에 다 요청하지 않습니다» 분할 요청 원칙과 3개 «지킬 조건» 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X01,shell.html,78,실습 주제 ① · 칸반 보드,할 일을 옮기며 관리하는 칸반 보드,자율 실습 과제,4필드 카드,수강생참고,1차시,수강생참고,R3,없음,수강생참고 이동 — 문안 변경 없음,«나눠 요청하기» 4단계 분할 안내 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X02,shell.html,79,실습 주제 ② · 가계부,쓴 돈이 한눈에 보이는 가계부,자율 실습 과제,4필드 목록,수강생참고,1차시,수강생참고,R4,없음,수강생참고 이동 — 문안 변경 없음,«나눠 요청하기» 4단계와 도넛·막대 그림 요구 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X03,shell.html,80,실습 주제 ③ · 타이머,25분 집중하고 5분 쉬는 타이머,자율 실습 과제,4필드 대비,수강생참고,1차시,수강생참고,R5,없음,수강생참고 이동 — 문안 변경 없음,«시간을 1분으로 줄여 돌리면» 검증 방법 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X04,shell.html,81,실습 주제 ④ · 퀴즈,문제를 내고 풀어 채점까지 하는 퀴즈,자율 실습 과제,4필드 카드,수강생참고,1차시,수강생참고,R6,없음,수강생참고 이동 — 문안 변경 없음,«세 문제를 넣고 두 개만 맞히면 결과에 2/3» 검증 방법 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X05,shell.html,82,실습 주제 ⑤ · 습관표,매일 체크하며 쌓아 가는 습관표,자율 실습 과제,4필드 목록,수강생참고,1차시,수강생참고,R7,M4,수강생참고 이동 + M4 — «이번 주 달성률»→«최근 7일 달성률»(주차 표현 제거),«연속 일수를 어떻게 셀지는 스스로 정해 요청문에 적어야 합니다» 단서 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-X06,shell.html,83,실습 주제 ⑥ · 카드 뒤집기 게임,같은 그림을 찾는 카드 뒤집기 게임,자율 실습 과제,4필드 대비,수강생참고,1차시,수강생참고,R8,없음,수강생참고 이동 — 문안 변경 없음. 타자 게임과 같은 «웹 게임» 계열이라 1차시 후속 과제로 가장 적합,«두 장이 뒤집힌 상태에서 세 번째를 누르면 어떻게 할지도 함께 적습니다» 단서 유지,0,100분 시간표 밖 자율 실습 · 브리프 §4 M3(축약·분리) 준용
VC-W1x-S42,shell.html,84,다음 시간 — 다음 주에는 파일 하나에서 프로젝트로 갑니다,오늘의 흐름은 다음 차시에도 그대로 이어진다,다음 차시 예고,이미지+2필드,본편,1차시,shell,13,M1+M4,"킥커(s-team) «PART 4<br>이번 주와 다음 주»→«1차시<br>이번 차시와 다음 차시»(마무리는 shell 배치) / 제목 «다음 주에는 파일 하나에서 프로젝트로 갑니다»→«2차시에는 반복해서 일하는 Agent를 만듭니다» / «오늘까지 한 것 / 요청하고, 열어 보고, 한 가지씩 고치는 흐름을 익혔습니다»는 그대로 / «다음 주에 할 것 / 누구의 어떤 문제를 풀지 정하고, 꼭 필요한 기능만 골라 첫 제품을 만듭니다. 파일도 역할별로 나누어 만듭니다»→«2차시에 할 것 / AI 뉴스를 스스로 조사하는 Agent의 기준을 정하고, 그 기준을 NEWS_AGENT.md 파일에 적어 반복 실행합니다» / «요청 → 확인 → 수정의 흐름은 다음 주에도 그대로입니다»→«… 2차시에도 그대로입니다» / aria/alt: alt «이번 주 한 파일과 다음 주 여러 파일 프로젝트를 비교하는 이미지»→«이번 차시 한 파일과 다음 차시 여러 파일 프로젝트를 비교하는 이미지»(이미지 자체는 유지)",«요청 → 확인 → 수정» 흐름 배지 유지 — 3차시 전체를 관통하는 축,1.0,커리큘럼 2차시 실습1·2 · 브리프 §4 M4
VC-W1x-S62,shell.html,85,THANK YOU,다음 시간 예고로 닫는다,마감,전면 텍스트,본편,1차시,shell,14,M1+M4,«VIBECODING · WEEK 1»→«VIBECODING · 1차시» / «다음 시간에는 새 아이디어를 새 프로젝트로 시작합니다.»→«다음 시간에는 스스로 조사하는 Agent를 만듭니다.»,thank-you 클래스·전면 타이포 구조 유지,0.5,브리프 §4 M1+M4 · 커리큘럼 2차시
