원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W2-C4-3,part-05.html,86,만든 파일의 하네스 위치,"기준 파일은 하네스의 «맡기기 전에 주는 것» 한 칸일 뿐, 나머지 네 칸은 비어 있다",개념,6칸 슬롯도+이미지,부록,2차시,부록,A1,M4,"헤더 s-team 「2주차<br>5교시」→「2차시<br>부록」(PART 라벨 주입 안 함) · 「prd.md와 design.md를 썼고, 오늘 AGENTS.md까지 더해도」 파일 목록에 「NEWS_AGENT.md」 추가 시도(attempt-04) → attempt-05에서 철회, 원본 문자열 「오늘 AGENTS.md까지」로 복귀(칩 3개와 일치 · R-BUILD2-03 경미 C) · 「2주차 5교시」→「2차시」 · 부록 구획으로 이동 · R-BUILD2-02 정정(부록 순서 — 부록 뒤 장 C4-7·C4-8은 칸을 채우지 않음): subline 「다음 장부터 이 칸들을 하나씩 채웁니다.」→「이 칸들을 하나씩 채워야 합니다.」 · 2026-09-11 사용자 결정(계획 §2-4): 리드 «prd.md와 design.md를 썼고» → «design.md를 쓰고, AGENTS.md까지 더해도»",「맡기기 전에 주는 것 / 끝난 뒤 확인 / 권한 / 실행 환경 / 기록」 6칸 구조 · 「나머지 네 칸은 아직 빕니다」 · 파일 목록 칩 3개(prd.md · design.md · AGENTS.md) 원본 그대로(attempt-05 확인),0,C4-4(하네스 6구성요소)와 같은 6칸을 다루어 본편 중복 — 부록으로 보존
VC-W2-C3-N4,part-05.html,87,AGENTS.md란 무엇인가,에이전트가 작업을 시작하기 전 자동으로 읽는 규칙 파일 · 없으면 같은 이탈을 매번 반복한다,개념,4항 정의카드,수정,2차시,PART5,43,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 6」 · 「2주차 5교시」→「2차시」 · 본문 무변경 · R-BUILD2 정정: 리드 「사람이 부르지 않아도 항상/자동으로 읽힙니다」·하단 「하위 폴더에 규칙 파일을 또 두면 …누적됩니다」는 특정 도구의 실제 동작으로 원문에서 확인되지 않음 — 도구 동작 단정 완화 필요(도구에 따라 다름·강사 시연으로 확인) · R-BUILD2-02 정정(폰트하한 +1 해소): 「언제 읽히나」 subline 「자동으로 읽는지는 도구에 따라 다를 수 있습니다.」(27자) → 「자동 읽기 여부는 도구마다 다릅니다.」(20자) · 노트 첫 항목 끝에 「자동으로 안 읽히면 요청 첫 줄에 «AGENTS.md를 먼저 읽고»라고 적어 불러 읽히게 합니다.」 추가 · 2026-09-11 사용자 결정(U2): PART 6 49 → PART 5 43(C4-4 뒤 · C4-5 앞 — 실습 ② AGENTS.md보다 앞에서 정의를 먼저 배운다) · 헤더 s-team 「2차시<br>PART 6」→「2차시<br>PART 5」,"「AI의 기억이 아니라, 사람이 적어 둔 만큼만 지키는 고정된 규칙입니다」 전문 — 「사람이 부르지 않아도 항상 작업을 시작할 때마다 자동으로 읽힙니다」는 도구 동작 단정이라 보존 대상 아님(attempt-03: 리드·카드·하단 단정 완화 · 노트에 「Google Antigravity에서 실제로 어떻게 읽히는지는 강사 시연에서 확인합니다」 1문장 추가)",1.0,NEWS_AGENT.md가 «왜 파일이어야 하는가»의 근거 — 뉴스 Agent 실습 직전 배치 · PART 6은 강의 13.0분 + 참가자 실작업 12.0분으로 분리 계상한다 — 이 행의 예상분은 강의 분만(§② 시간표) · 2026-09-11: 위 «뉴스 Agent 실습 직전 배치»와 PART 6 분 계상 서술은 이동으로 낡음 — AGENTS.md를 쓰는 실습 ②(C4-11)보다 정의가 앞서야 한다(사용자 결정 U2) · 예상분 1.0은 PART 5 강의 분
VC-W2-C4-N2,part-05.html,88,AGENTS.md에 무엇을 적나,지켜야 할 규칙 · 쓸 수 있는 자료 · 반복 절차 세 종류,개념,3칸 카드+예시,수정,2차시,PART5,46,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 6」 · 「2주차 5교시」→「2차시」 · 본문 무변경(「이 세 종류가 바로 다음 실습의 뼈대입니다」가 새 실습에도 그대로 성립) · 2026-09-11 사용자 결정(U2·U7): PART 6 50 → PART 5 46(C4-N5 뒤 · 실습 ② C4-11 바로 앞) · 헤더 s-team 「2차시<br>PART 6」→「2차시<br>PART 5」 · «prd.md를 먼저 읽…» 예시 → «design.md를 먼저 읽…»(M4 동반) · «이 세 종류가 바로 다음 실습의 뼈대» 문구 유지(이제 실제로 실습 ② 바로 앞),지켜야 할 규칙 / 쓸 수 있는 자료 / 반복 절차 3분류 · 「한 문장이 한 줄입니다」 · 「나온 초안에서 내가 고칠 줄만 고칩니다」,1.0,원문 01의 NEWS_AGENT.md 6항목(역할·조사 대상·선정 기준·제외할 정보·출력 형식·검증 기준)이 이 3분류의 하위 전개 — 신규 N-10의 직전 발판 · PART 6은 강의 13.0분 + 참가자 실작업 12.0분으로 분리 계상한다 — 이 행의 예상분은 강의 분만(§② 시간표) · 2026-09-11: PART 6 분 계상 서술은 이동으로 낡음 — 실습 ② 바로 앞 발판(사용자 결정 U2) · 예상분 1.0은 PART 5 강의 분
VC-W2-C4-11,part-05.html,89,실습 ⑩ 하네스 설계,"AGENTS.md 6~10줄 · 먼저 폴더를 읽게 하고, 초안을 쓰게 하고, 내가 고친다",실습안내,실습 3단계+대화도,실습안내,2차시,PART5,47,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「무엇을 고를지 모르겠으면 ChatGPT에 물어 추천받아도 됩니다」→「… AI Chat에 물어 …」 · 실습 대상 폴더를 「1차시에 만든 웹 폴더」로 명시(M4 동반) · 노트 정합(화면 변경 없음): 「작업 시작 때 읽히는 규칙 파일」→「작업 전에 먼저 읽게 두는 규칙 파일」,「먼저 보게 합니다 — 아직 고치지는 마」 · 「AGENTS.md 초안을 6~10줄로」 · 「모르는 것은 [확인 필요]로 남겨 줘」 3단계 전문 · 고를 수 있는 규칙 4종,0.75,뒤 50분 「기존 웹에 기준 적용」의 두 번째 실습 — NEWS_AGENT.md 작성(N-10)의 예행
VC-W2-A5F2-P,part-05.html,90,AGENTS.md를 만들 때 이렇게 요청합니다,"폴더를 먼저 읽게 하고, 저장은 사람이 확인한 뒤",예시프롬프트,프롬프트 카드,실습안내,2차시,PART5,48,M2,"헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 카드 헤더「Codex · AGENTS.md 초안」→「Google Antigravity · AGENTS.md 초안」 · 상단 배지 「실습 ⑩ 예시 프롬프트」→「실습 ② 예시 프롬프트」(새 실습 번호 체계) · 본문 「88쪽에서 본 항목이」는 숫자로 갱신하지 않고 「규칙·자료·절차가」로 교체해 쪽 참조 자체를 없앴다(attempt-02 실측 · 이전 계획 「새 순서 48로 갱신」은 낡음 — 실제 적용값 반영, R-BUILD2) · 2026-09-11 사용자 결정(U7 · M4 동반): «먼저 읽을 자료: [예: prd.md · design.md]» → «[예: design.md]»","「모르는 것은 [확인 필요]로 남기고, 저장은 제가 확인한 뒤에 합니다. 먼저 초안만 보여 주세요.」 전문",0.75,승인 전 멈춤(권한)의 프롬프트 실물 · 쪽 번호 참조가 있어 조립 시 반드시 갱신 필요
VC-W2-C4-4,part-05.html,91,하네스의 구성요소,맡기기 전 3가지(규칙·도구와 자료·절차) + 끝난 뒤 3가지(기준·화면·기록),개념,앞뒤 파이프도,수정,2차시,PART5,42,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시」 · 본문 무변경 · 2026-09-11 사용자 결정(U7 · M4 동반): «prd.md를 먼저 읽어라» → «design.md를 먼저 읽어라» — 위 «본문 무변경»은 이 한 곳만큼 대체,「AI가 일한다 — 안에서 벌어지는 일은 우리가 정하지 못합니다」 · 「사후 검증이 비면 결과를 판정할 기준이 없습니다」 · 6항목 전문,1.5,커리큘럼 「Harness Engineering: 파일 · 도구 · 권한 · 검증」과 6항목이 직접 대응 — Harness 절의 본편 정본
VC-W2-C4-5,part-05.html,92,파일만으로 부족하니 하네스가 필요합니다,권한 · 실행 환경 · 인수인계 · 실패 기록 네 가지,개념,4축 카드,수정,2차시,PART5,44,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「2주차 5교시」→「2차시」 · R-BUILD2-02 정정(상호참조 · 받는 장 C4-3이 부록으로 이동): 「앞의 네 칸을 채우는 것이」→「파일 밖 칸을 채우는 것이」(예시 「파일 밖의 네 칸까지」 · 항목 수는 바로 뒤 「아래 네 가지는」이 받음) · attempt-05 재정정: 리드 최종 「파일 밖을 채우는 것이」(이전 「파일 밖 칸을 채우는 것이」는 attempt-05 이전 이력으로 보존),권한 / 실행 환경 / 인수인계 / 실패 기록 4항목 전문 · 「되돌리기 어려운 행동은 승인 전에 멈춥니다」,1.0,원문 01의 「실행 권한」·「검증 방법」과 대응 · 개인정보·권한 주의를 실물 항목으로 연결
VC-W2-C4-6,part-05.html,93,규칙 파일 vs 기술적 강제,"규칙 파일은 유도하고, 권한은 넘어갈 수 없게 강제한다",비교,비교2단+도식,통합,2차시,PART5,45,M5,"C4-N5(규칙과 권한은 다릅니다)에 흡수 — 「되돌릴 수 있으면 규칙, 없으면 장치」 판단 기준과 「지시가 부딪히면 건너뜁니다」 항목을 통합본에 남긴다",「정말 막을 것은 권한으로 막습니다 — 승인·권한은 넘어갈 수 없는 층입니다」,0,C4-N5와 같은 대비를 두 장으로 반복 — 표 형식이 더 압축적인 C4-N5로 M5 통합
VC-W2-C4-N5,part-05.html,94,규칙과 권한은 다릅니다,둘 다 «하지 마»라고 말하지만 넘어갈 수 있느냐가 다르다,비교,4행 비교표,수정,2차시,PART5,45,M4,"헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 5」 · 「1주차에서 정한 «작업은 프로젝트 폴더 안에서»가 여기서 장치로 강제됩니다」→「1차시에서 정한 …」 · C4-6의 「되돌릴 수 있으면 규칙, 없으면 장치」 판단 기준 흡수(M5)",4행 비교표(하는 일 / 어디에 있나 / 어길 수 있나 / 기준) 전문 · 「폴더 밖은 규칙이 아니라 권한이 막습니다」,1.0,커리큘럼 「Harness: 권한」 · 원문 01 「실행 권한을 확인해야 한다」의 정본 · 1주차→1차시 상호참조만 수정
VC-W2-C4-7,part-05.html,95,규칙과 강제의 분류 기준,되돌릴 수 있나 / 바로 알아채나 두 질문으로 자리가 정해진다,개념,사분면,부록,2차시,부록,A2,M1,헤더 s-team 「2주차<br>5교시」→「2차시<br>부록」(PART 라벨 주입 안 함) · 「2주차 5교시」→「2차시」 · 본문 무변경 · 부록 구획으로 이동,두 질문(되돌릴 수 있나 / 바로 알아채나)과 6개 항목 배치 전문,0,C4-N5로 규칙·권한 대비는 충족 · 사분면은 심화라 입문 2차시 본편에서 빼고 부록으로 보존
VC-W2-C4-N3,part-05.html,96,Skill이란 무엇이고 어떻게 만드나,반복되는 절차 하나를 담아 둔 지침 묶음 · 만드는 3단계,개념,정의+3단계+프롬프트,제외,없음,없음,없음,없음,M3 제외 주제 — 커리큘럼 「MCP·플러그인·스킬 실연동 제외(소개만)」 · 이 장은 «만드는 법»까지 다뤄 실연동에 해당,없음,0,소개 1장은 C4-8이 담당(M3 축약) · 만들기 절차는 제외
VC-W2-C4-8,part-05.html,97,Skill과 프로젝트 규칙,"항상 지킬 사실은 규칙 파일에, 반복 절차는 Skill에",비교,비교2단,부록,2차시,부록,A3,M3,"헤더 s-team 「2주차<br>5교시」→「2차시<br>부록」(PART 라벨 주입 안 함) · M3 축약 — Skill을 «소개 1장»으로만 남기고 부록 구획에 배치 · 「2주차 5교시」→「2차시」 · 노트 항목 1개 추가(화면·노트 첫 항목 원문 불변): 🗣 「화면의 «매번 전부 읽힙니다»는 규칙 파일을 자동으로 읽는 도구 기준입니다. 자동 읽기 여부는 도구마다 다르니, 안 읽히면 요청 첫 줄에 «AGENTS.md를 먼저 읽고»라고 적어 불러 읽히게 합니다.」","「매번 지킬 것을 Skill에만 넣으면 다른 작업에서 놓치고, 반복 절차를 규칙 파일에 넣으면 무관한 작업에서도 매번 읽힙니다」",0,커리큘럼 제외 목록의 「MCP/플러그인/스킬 실연동(소개만)」을 정확히 이행 — 소개 1장만 부록으로 보존
VC-W2-C4-13,part-05.html,98,반복되는 실수를 어디에 넣나,같은 문제가 두 번 나올 때마다 그 자리를 한 칸씩 메운다,개념,4행 라우팅표,수정,2차시,PART8,71,M3,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 8」 · Skill 행(「같은 절차를 세 번 넘게 대화에 붙여넣는다 → Skill」)은 소개 수준이라 유지 · 「2주차 5교시」→「2차시」 · 나머지 무변경 · 2026-09-11 사용자 결정(U10): «같은 절차를 세 번 넘게 대화에 붙여넣는다 → Skill» 행 삭제(위 «Skill 행 유지» 대체),4행 라우팅(규칙 파일 / Skill / 승인·권한 / 기록) · 「한 번뿐인 실수까지 규칙으로 만들면 규칙이 길어져 아무도 읽지 않습니다」 → 2026-09-11 Skill 행 삭제로 3행(규칙 파일 / 승인·권한 / 기록),1.5,정리 10분의 «오늘 배운 것을 어디에 넣나» 회수 슬라이드 · Skill 언급 1행은 «소개만» 범위 안 · 2026-09-11: 사용자 결정(U10)으로 정리 PART의 Skill 언급 삭제(부록 C4-8은 유지)
VC-W2-C4-15,part-05.html,99,하네스를 갖추는 단계,0단계 대화만 → 1단계 규칙 파일 → 2단계 확인 절차 → 3단계 운영,개념,계단도,수정,2차시,PART8,72,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 8」 · 「2주차 5교시」→「2차시」 · 본문 무변경,0~3단계 전문 · 「오늘 본 것을 전부 갖출 필요는 없습니다. 막히는 자리가 생겼을 때 한 칸씩 올립니다.」,1.0,정리 10분의 마지막 개념 — 입문자에게 «다 하지 않아도 된다»는 출구를 준다
VC-W2-P6,part-06.html,100,내 프로젝트 시작하기,PART 6 구획,구획,divider,수정,2차시,PART8,65,M4,"헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「내 프로젝트 시작하기」→「정리와 질의」 · 부제「배운 판단 기준을 다시 확인하고, 각자의 주제로 작은 첫 작동 화면을 만듭니다」→「오늘 정한 기준을 어디에 남기고, 무엇으로 확인하는가」",part-divider 구조,0.5,"divider 재사용 — 구조 불변, 문구만 M4"
VC-W2-C6-START,part-06.html,101,개인 프로젝트 실습을 시작합니다,완벽한 앱이 아니라 누군가 한 번 써 볼 수 있는 첫 작동,실습안내,4단계+산출물,제외,없음,없음,없음,없음,개인 주제 자유 실습 — 2차시 실습은 뉴스 조사 Agent로 고정 · 4단계+「오늘의 산출물」 구도는 신규 N-09가 승계,없음,0,커리큘럼_기준안 2차시 실습 7단계가 뉴스 Agent로 확정돼 있음
VC-W2-C6-N1,part-06.html,102,좋은 시작은 누구의 어떤 불편입니다,넓은 아이디어를 한 사람의 반복되는 순간까지 좁힌다,정리,3단계+이미지,제외,없음,없음,없음,없음,PART1(기획) 회고 — 대응 PART가 제외됐으므로 동반 제외,없음,0,회고 슬라이드는 회고 대상이 사라지면 성립하지 않음
VC-W2-C6-S1,part-06.html,103,"사람을 정하고, 가설은 확인합니다",페르소나는 설명이고 가설은 확인해야 할 질문,정리,3단계,제외,없음,없음,없음,없음,PART1(기획) 적용 — 동반 제외,없음,0,C6-N1과 짝 슬라이드
VC-W2-C6-N2,part-06.html,104,MVP는 작아도 한 번 쓸 수 있어야 합니다,부품이 아니라 한 번의 사용 경험을 먼저 만든다,정리,3단계+이미지,제외,없음,없음,없음,없음,PART2(MVP) 회고 — 동반 제외,없음,0,회고 대상 부재
VC-W2-C6-S2,part-06.html,105,"범위를 지키고, 끝나는 장면을 적습니다",이번에 할 것과 끝난 것을 정하면 기능이 늘어나는 것을 막는다,정리,3단계,수정,2차시,PART2,15,M4,헤더 s-team 「2주차<br>6교시」→「2차시<br>PART 2」(M1 동반) · 라벨 「PART 2 · 바로 적용하기」는 새 PART 2(Prompt)에서도 번호가 같아 문자열 변경 0 — 다만 참조 대상이 「MVP와 사용 흐름」에서 「Prompt」로 바뀌므로 M4 상호참조 확인 대상으로 등재 · 제목·3칸(이번에 만들 것 / 이번엔 안 만들 것 / 완료 기준)·예시 문구는 무변경,p6-grid3 3칸 구도 · 「완료 기준 — 무엇을 누르면 무엇이 보이는지를 문장으로 적습니다」 · 예시 「버튼을 누르면 목록에 그 줄이 보인다」(C2-10의 같은 예시와 짝) · 「기능을 버리는 것이 아니라 미룹니다」,1.0,"부활(오케스트레이터 결정 2026-09-10) — 3칸이 커리큘럼 Prompt 5요소의 «범위»와 «완료 기준» 적용판으로 그대로 성립하고, 원본 라벨이 이미 「PART 2 · 바로 적용하기」라 PART 번호 재부여 없이 승계된다 · C2-10(완료 기준과 테스트) 바로 뒤에 두어 개념 → 적용으로 잇는다"
VC-W2-C6-N3,part-06.html,106,문서는 AI가 읽을 프로젝트의 기준입니다,채팅에 붙이지 말고 프로젝트 폴더에서 읽게 한다 · 문서 → AI → 파일 → 화면,정리,3단계+이미지,수정,2차시,PART8,70,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 8」 · 「prd.md · design.md · AGENTS.md」→「prd.md · design.md · AGENTS.md · NEWS_AGENT.md」(오늘 만든 파일 추가) · 「2주차 6교시」→「2차시」 · 라벨「PART 3 · 기획 문서와 첫 작동」→「PART 4 · Markdown으로 기준을 파일에」,「채팅에 붙이지 말고 프로젝트 폴더에서 읽게 합니다」 · 「문서 → AI → 파일 → 화면 순서를 기억합니다」 전문,1.0,강제 메시지 「중요한 기준은 대화가 아니라 파일에 남긴다」의 정리판 — 라벨의 PART 참조만 M4 갱신
VC-W2-A3F3,part-06.html,107,결정이 바뀌면 문서를 먼저 고칩니다,코드만 바꾸면 다음 AI 작업이 낡은 기준을 다시 읽는다,개념,3단계 순환,수정,2차시,PART4,31,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 4」 · 라벨「PART 3 · 바로 적용하기」→「PART 4 · 바로 적용하기」 · 「2주차 6교시」→「2차시」 · 예시(알림은 이번에 빼자 → prd.md 제외 항목에 적기) 유지,「코드만 바꾸면 다음 AI 작업이 낡은 기준을 다시 읽습니다. 문서부터 바꾸고 다시 확인합니다.」 전문 · 3단계 순환 구조,1.0,Markdown 기준 관리의 «갱신» 축 — 뉴스 선정 기준이 바뀌면 NEWS_AGENT.md를 먼저 고친다로 이어짐
VC-W2-C6-N5,part-06.html,108,"참고 화면을 관찰하고, 말로 옮겨 적용합니다",예쁘다가 아니라 색·간격·순서처럼 다시 만들 수 있는 특성을 남긴다,정리,3단계+이미지,제외,없음,없음,없음,없음,3차시로 이관 후보 — 대시보드 디자인 관찰에 재사용 가능 · 2차시 대응 PART 없음,없음,0,디자인 PART가 3차시로 이관되면서 회고도 동반 이관 후보
VC-W2-C6-S5,part-06.html,109,핵심 기능은 한 단계씩 만들고 확인합니다,화면 하나 · 동작 하나 · 확인 하나씩 이어 간다,정리,3단계+체크,수정,2차시,PART8,68,M4,헤더 s-team 「2주차<br>6교시」→「2차시<br>PART 8」(M1 동반) · 라벨 「PART 4 · 바로 적용하기」→「PART 8 · 오늘 정리」 · 제목·3단계(화면 자리 / 한 번의 동작 / 다른 값으로 확인)·체크 3항은 무변경,체크 3항 「정상값에서 결과가 보인다 / 빈칸에서 안내가 보인다 / 화면이 깨지지 않는다」(p6-check-row) · 3단계 중 「다른 값으로 확인 — 정상값·빈칸·엉뚱한 값을 직접 넣어 봅니다」 · p6-screen-flow 구도,1.0,"부활(오케스트레이터 결정 2026-09-10) — 체크 3항이 강제 메시지 「AI의 완료는 완료 증거가 아니다」를 «무엇을 직접 눌러 보는가»로 내리는 유일한 구체 항목이다 · C6-S4(완료 증거 강도 1 «직접 열어 봄») 바로 뒤에 두어 그 «직접»의 실행 방법을 잇는다 · 3차시 이관 후보에서 뺀다(C5-15와의 중복은 C5-15가 «쪼개기», 이 장이 «확인 값»으로 축이 갈린다) · 2026-09-11 사용자 결정(U8)으로 C5-15가 이 장과 중복이라 삭제됨 — 위 «축이 갈린다» 판정은 대체"
VC-W2-C6-N4,part-06.html,110,AI에게 맡기기 전과 끝난 뒤를 설계합니다,중간을 통제하려 하지 말고 넣어 주는 것과 확인하는 것을 분명히 한다,정리,전후 3단계+이미지,수정,2차시,PART8,66,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 8」 · 라벨「PART 5 · AI 작업 시스템」→「PART 5 · Harness」 · 「2주차 6교시」→「2차시」 · 본문 무변경,「전: 맡길 기준 / 후: 확인할 증거를 갖춥니다」 · 전(규칙·자료·절차) / 후(기준·화면·기록) 전문,1.5,Harness 6칸(C4-4)의 정리판 — 110분 세션의 마지막 회수 지점
VC-W2-C6-S4,part-06.html,111,완료했다보다 직접 연 화면이 강합니다,완료 증거의 강도 1 직접 열어 봄 · 2 기계가 판정 · 3 기록만 있음,정리,증거 3단계+라우팅,수정,2차시,PART8,67,M4,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 8」 · 라벨「PART 5 · 바로 적용하기」→「PART 8 · 오늘 정리」 · 「2주차 6교시」→「2차시」 · 「어디에 넣을까」 3행(AGENTS.md / Skill / 권한·승인)은 그대로 유지 · 2026-09-11 사용자 결정(U10 · M3 동반): «어디에 넣을까»에서 «반복되는 절차 → Skill» 행 삭제(위 «3행 그대로 유지» 대체) · 보존유보(완료 증거 강도 3단계) 불변,완료 증거 강도 3단계 전문 · 「반복되는 판단은 알맞은 장소에 저장」,1.5,강제 메시지 「AI의 완료는 완료 증거가 아니다」의 정본 슬라이드 — 원문 01 「완료했습니다라고 말하는 것과 실제 작업 완료는 다를 수 있다」와 직접 대응
VC-W2-THX,part-06.html,112,THANK YOU,마무리,마무리,마무리,본편,2차시,PART8,74,없음,헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 변경 없음,closing thank-you 구조 · 로고 SVG,0.5,마무리 슬라이드는 차시 무관 — 그대로 복사
